PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=452 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=474 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=491 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=512 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=515 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=517 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=538 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=528 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=556 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=553 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=569 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=518 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=523 ms
