1682413406.628970,0
1682413406.734695,10
1682413406.841011,28
1682413406.945821,23
1682413407.050912,50
1682413407.156014,44
1682413407.263210,45
1682413407.368142,88
1682413407.473429,98
1682413407.579946,96
1682413407.684837,79
1682413407.790533,81
1682413407.895095,87
1682413408.002241,89
1682413408.108588,100
1682413408.213688,100
1682413408.318476,100
1682413408.423499,100
1682413408.528394,50
1682413408.633679,52
1682413408.740135,54
1682413408.844542,54
1682413408.949613,56
1682413409.054798,0
1682413409.159735,1
1682413409.264297,0
1682413409.369416,0
1682413409.474020,70
1682413409.578910,69
1682413409.685077,62
1682413409.790211,55
1682413409.895070,54
1682413410.000010,8
1682413410.105080,98
1682413410.210868,97
1682413410.315618,100
1682413410.420693,99
1682413410.525814,100
1682413410.632014,100
1682413410.736266,100
1682413410.842292,100
1682413410.946217,83
1682413411.052339,78
1682413411.156922,74
1682413411.262650,87
1682413411.369074,88
1682413411.473864,90
1682413411.578776,66
1682413411.685466,58
1682413411.791871,50
1682413411.902162,88
1682413412.006561,90
1682413412.113532,59
1682413412.219762,52
1682413412.325472,71
1682413412.429337,70
1682413412.534878,45
1682413412.641163,46
1682413412.754780,68
1682413412.859770,69
1682413412.965800,45
1682413413.070384,47
1682413413.175613,48
1682413413.281931,79
1682413413.386899,78
1682413413.492241,54
1682413413.601536,55
1682413413.706093,78
1682413413.812212,82
1682413413.918776,71
1682413414.026203,57
1682413414.131945,57
1682413414.238876,85
1682413414.345344,88
1682413414.451131,88
1682413414.560018,61
1682413414.668909,62
1682413414.775207,63
1682413414.881929,97
1682413414.985901,100
1682413415.091191,99
1682413415.198483,72
1682413415.303363,73
1682413415.407440,73
1682413415.515412,97
1682413415.619360,89
1682413415.724487,83
1682413415.828440,84
1682413415.933777,85
1682413416.039204,58
1682413416.143557,58
1682413416.250248,59
1682413416.356383,77
1682413416.460577,78
1682413416.567320,50
1682413416.672302,50
1682413416.776723,51
1682413416.885382,76
1682413416.989618,83
1682413417.094151,54
1682413417.198509,55
1682413417.303410,56
1682413417.409381,81
1682413417.515241,87
1682413417.620293,57
1682413417.724737,58
1682413417.831656,59
1682413417.936886,88
1682413418.043174,93
1682413418.153576,93
1682413418.258050,63
1682413418.364013,64
1682413418.469287,65
1682413418.574397,94
1682413418.683228,100
1682413418.788236,100
1682413418.894675,100
1682413418.999585,70
1682413419.104199,71
1682413419.209113,72
1682413419.315712,100
1682413419.420356,97
1682413419.527947,96
1682413419.634031,95
1682413419.740136,65
1682413419.845611,65
1682413419.952006,66
1682413420.057431,95
1682413420.163615,84
1682413420.269005,84
1682413420.374171,58
1682413420.478969,52
1682413420.585138,52
1682413420.692141,54
1682413420.806655,83
1682413420.911421,45
1682413421.015539,39
1682413421.121331,31
1682413421.227202,33
1682413421.331705,34
1682413421.436823,34
1682413421.541991,34
1682413421.646233,37
1682413421.751564,39
1682413421.856641,40
1682413421.962963,74
1682413422.068437,40
1682413422.172716,41
1682413422.277534,43
1682413422.382792,75
1682413422.487372,42
1682413422.592450,43
1682413422.697237,44
1682413422.802645,45
1682413422.906501,57
1682413423.012536,37
1682413423.117715,37
1682413423.223244,39
1682413423.328304,28
1682413423.434224,28
1682413423.540165,28
1682413423.645969,0
1682413423.752591,25
1682413423.857597,26
1682413423.963029,25
1682413424.067950,0
1682413424.174214,26
1682413424.279141,27
1682413424.384635,26
1682413424.491247,0
1682413424.598942,26
1682413424.705640,27
1682413424.811140,26
1682413424.929458,0
1682413425.033749,26
1682413425.139869,28
1682413425.250456,28
1682413425.357022,0
1682413425.462128,27
1682413425.568447,28
1682413425.673402,30
1682413425.778477,0
1682413425.885480,28
1682413425.989734,30
1682413426.094374,31
1682413426.200226,0
1682413426.304694,27
1682413426.410310,29
1682413426.518655,28
1682413426.626970,0
1682413426.733193,24
1682413426.837368,29
1682413426.942466,29
1682413427.047860,29
1682413427.154110,0
1682413427.263083,28
1682413427.367405,30
1682413427.472380,32
1682413427.576652,0
1682413427.681490,29
1682413427.786202,30
1682413427.891607,31
1682413428.004058,0
1682413428.110743,0
