PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=626 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=695 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=691 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=776 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=754 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=475 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=432 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=441 ms
