PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=83.5 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=81.8 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=289 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=384 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=326 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=236 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=82.4 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=35.1 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=61.3 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=95.3 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=99.5 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=99.0 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=91.1 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=90.1 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=99.7 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=98.6 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=99.1 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=99.2 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=98.5 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=94.9 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=91.3 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=213 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=262 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=277 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=325 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=336 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=354 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=392 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=412 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=457 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=509 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=558 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=402 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=322 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=242 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=298 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=294 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=314 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=329 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=351 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=378 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=439 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=489 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=379 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=300 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=243 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=228 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=295 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=298 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=344 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=350 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=352 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=417 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=470 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=363 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=67.7 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=29.9 ms
